fips,county,State
13059,clarke,GA
13061,clay,GA
13063,clayton,GA
13065,clinch,GA
13067,cobb,GA
13069,coffee,GA
13071,colquitt,GA
13073,columbia,GA
13075,cook,GA
13077,coweta,GA
13079,crawford,GA
13081,crisp,GA
13083,dade,GA
13085,dawson,GA
13087,decatur,GA
13089,de kalb,GA
13091,dodge,GA
13093,dooly,GA
13095,dougherty,GA
13097,douglas,GA
13099,early,GA
13101,echols,GA
13103,effingham,GA
13105,elbert,GA
13107,emanuel,GA
13109,evans,GA
13111,fannin,GA
13113,fayette,GA
13115,floyd,GA
13117,forsyth,GA
13119,franklin,GA
13121,fulton,GA
13123,gilmer,GA
13125,glascock,GA
13127,glynn,GA
13129,gordon,GA
13131,grady,GA
13133,greene,GA
13135,gwinnett,GA
13137,habersham,GA
13139,hall,GA
13141,hancock,GA
13143,haralson,GA
13145,harris,GA
13147,hart,GA
13149,heard,GA
13151,henry,GA
13153,houston,GA
13155,irwin,GA
13157,jackson,GA
13159,jasper,GA
13161,jeff davis,GA
13163,jefferson,GA
13165,jenkins,GA
13167,johnson,GA
13169,jones,GA
13171,lamar,GA
13173,lanier,GA
13175,laurens,GA
13177,lee,GA
13179,liberty,GA
13181,lincoln,GA
13183,long,GA
13185,lowndes,GA
13187,lumpkin,GA
13189,mcduffie,GA
13191,mcintosh,GA
13193,macon,GA
13195,madison,GA
13197,marion,GA
13199,meriwether,GA
13201,miller,GA
13205,mitchell,GA
13207,monroe,GA
13209,montgomery,GA
13211,morgan,GA
13213,murray,GA
13215,muscogee,GA
13217,newton,GA
13219,oconee,GA
13221,oglethorpe,GA
13223,paulding,GA
13225,peach,GA
13227,pickens,GA
13229,pierce,GA
13231,pike,GA
13233,polk,GA
13235,pulaski,GA
13237,putnam,GA
13239,quitman,GA
13241,rabun,GA
13243,randolph,GA
13245,richmond,GA
13247,rockdale,GA
13249,schley,GA
13251,screven,GA
13253,seminole,GA
13255,spalding,GA
13257,stephens,GA
13259,stewart,GA
13261,sumter,GA
13263,talbot,GA
13265,taliaferro,GA
13267,tattnall,GA
13269,taylor,GA
13271,telfair,GA
13273,terrell,GA
13275,thomas,GA
13277,tift,GA
13279,toombs,GA
13281,towns,GA
13283,treutlen,GA
13285,troup,GA
13287,turner,GA
13289,twiggs,GA
13291,union,GA
13293,upson,GA
13295,walker,GA
13297,walton,GA
13299,ware,GA
13301,warren,GA
13303,washington,GA
13305,wayne,GA
13307,webster,GA
13309,wheeler,GA
13311,white,GA
13313,whitfield,GA
13315,wilcox,GA
13317,wilkes,GA
13319,wilkinson,GA
13321,worth,GA
15001,hawaii,HI
15003,honolulu,HI
15007,kauai,HI
15009,maui,HI
16001,ada,ID
16003,adams,ID
16005,bannock,ID
16007,bear lake,ID
16009,benewah,ID
16011,bingham,ID
16013,blaine,ID
16015,boise,ID
16017,bonner,ID
16019,bonneville,ID
16021,boundary,ID
16023,butte,ID
16025,camas,ID
16027,canyon,ID
16029,caribou,ID
16031,cassia,ID
16033,clark,ID
16035,clearwater,ID
16037,custer,ID
16039,elmore,ID
16041,franklin,ID
16043,fremont,ID
16045,gem,ID
16047,gooding,ID
16049,idaho,ID
16051,jefferson,ID
16053,jerome,ID
16055,kootenai,ID
16057,latah,ID
16059,lemhi,ID
16061,lewis,ID
16063,lincoln,ID
16065,madison,ID
16067,minidoka,ID
16069,nez perce,ID
16071,oneida,ID
16073,owyhee,ID
16075,payette,ID
16077,power,ID
16079,shoshone,ID
16081,teton,ID
16083,twin falls,ID
16085,valley,ID
16087,washington,ID
17001,adams,IL
17003,alexander,IL
17005,bond,IL
17007,boone,IL
17009,brown,IL
17011,bureau,IL
17013,calhoun,IL
17015,carroll,IL
17017,cass,IL
17019,champaign,IL
17021,christian,IL
17023,clark,IL
17025,clay,IL
17027,clinton,IL
17029,coles,IL
17031,cook,IL
17033,crawford,IL
17035,cumberland,IL
17037,de kalb,IL
17039,de witt,IL
17041,douglas,IL
17043,du page,IL
17045,edgar,IL
17047,edwards,IL
17049,effingham,IL
17051,fayette,IL
17053,ford,IL
17055,franklin,IL
17057,fulton,IL
17059,gallatin,IL
17061,greene,IL
17063,grundy,IL
17065,hamilton,IL
17067,hancock,IL
17069,hardin,IL
17071,henderson,IL
17073,henry,IL
17075,iroquois,IL
17077,jackson,IL
17079,jasper,IL
17081,jefferson,IL
17083,jersey,IL
17085,jo daviess,IL
17087,johnson,IL
17089,kane,IL
17091,kankakee,IL
17093,kendall,IL
17095,knox,IL
17097,lake,IL
17099,la salle,IL
17101,lawrence,IL
17103,lee,IL
17105,livingston,IL
17107,logan,IL
17109,mcdonough,IL
17111,mchenry,IL
17113,mclean,IL
17115,macon,IL
17117,macoupin,IL
17119,madison,IL
17121,marion,IL
17123,marshall,IL
17125,mason,IL
17127,massac,IL
17129,menard,IL
17131,mercer,IL
17133,monroe,IL
17135,montgomery,IL
17137,morgan,IL
17139,moultrie,IL
17141,ogle,IL
17143,peoria,IL
17145,perry,IL
17147,piatt,IL
17149,pike,IL
17151,pope,IL
17153,pulaski,IL
17155,putnam,IL
17157,randolph,IL
17159,richland,IL
17161,rock island,IL
17163,st clair,IL
17165,saline,IL
17167,sangamon,IL
17169,schuyler,IL
17171,scott,IL
17173,shelby,IL
17175,stark,IL
17177,stephenson,IL
17179,tazewell,IL
17181,union,IL
17183,vermilion,IL
17185,wabash,IL
17187,warren,IL
17189,washington,IL
17191,wayne,IL
17193,white,IL
17195,whiteside,IL
17197,will,IL
17199,williamson,IL
17201,winnebago,IL
17203,woodford,IL
18001,adams,IN
18003,allen,IN
18005,bartholomew,IN
18007,benton,IN
18009,blackford,IN
18011,boone,IN
18013,brown,IN
18015,carroll,IN
18017,cass,IN
18019,clark,IN
18021,clay,IN
18023,clinton,IN
18025,crawford,IN
18027,daviess,IN
18029,dearborn,IN
18031,decatur,IN
18033,de kalb,IN
18035,delaware,IN
18037,dubois,IN
18039,elkhart,IN
18041,fayette,IN
18043,floyd,IN
18045,fountain,IN
18047,franklin,IN
18049,fulton,IN
18051,gibson,IN
18053,grant,IN
18055,greene,IN
18057,hamilton,IN
18059,hancock,IN
18061,harrison,IN
18063,hendricks,IN
18065,henry,IN
18067,howard,IN
18069,huntington,IN
18071,jackson,IN
18073,jasper,IN
18075,jay,IN
18077,jefferson,IN
18079,jennings,IN
18081,johnson,IN
18083,knox,IN
18085,kosciusko,IN
18087,la grange,IN
18089,lake,IN
18091,la porte,IN
18093,lawrence,IN
18095,madison,IN
18097,marion,IN
18099,marshall,IN
18101,martin,IN
18103,miami,IN
18105,monroe,IN
18107,montgomery,IN
18109,morgan,IN
18111,newton,IN
18113,noble,IN
18115,ohio,IN
18117,orange,IN
18119,owen,IN
18121,parke,IN
18123,perry,IN
18125,pike,IN
18127,porter,IN
18129,posey,IN
18131,pulaski,IN
18133,putnam,IN
18135,randolph,IN
18137,ripley,IN
18139,rush,IN
18141,st joseph,IN
18143,scott,IN
18145,shelby,IN
18147,spencer,IN
18149,starke,IN
18151,steuben,IN
18153,sullivan,IN
18155,switzerland,IN
18157,tippecanoe,IN
18159,tipton,IN
18161,union,IN
18163,vanderburgh,IN
18165,vermillion,IN
18167,vigo,IN
18169,wabash,IN
18171,warren,IN
18173,warrick,IN
18175,washington,IN
18177,wayne,IN
18179,wells,IN
18181,white,IN
18183,whitley,IN
19001,adair,IA
19003,adams,IA
19005,allamakee,IA
19007,appanoose,IA
19009,audubon,IA
19011,benton,IA
19013,black hawk,IA
19015,boone,IA
19017,bremer,IA
19019,buchanan,IA
19021,buena vista,IA
19023,butler,IA
19025,calhoun,IA
19027,carroll,IA
19029,cass,IA
19031,cedar,IA
19033,cerro gordo,IA
19035,cherokee,IA
19037,chickasaw,IA
19039,clarke,IA
19041,clay,IA
19043,clayton,IA
19045,clinton,IA
19047,crawford,IA
19049,dallas,IA
19051,davis,IA
19053,decatur,IA
19055,delaware,IA
19057,des moines,IA
19059,dickinson,IA
19061,dubuque,IA
19063,emmet,IA
19065,fayette,IA
19067,floyd,IA
19069,franklin,IA
19071,fremont,IA
19073,greene,IA
19075,grundy,IA
19077,guthrie,IA
19079,hamilton,IA
19081,hancock,IA
19083,hardin,IA
19085,harrison,IA
19087,henry,IA
19089,howard,IA
19091,humboldt,IA
19093,ida,IA
19095,iowa,IA
19097,jackson,IA
19099,jasper,IA
19101,jefferson,IA
19103,johnson,IA
19105,jones,IA
19107,keokuk,IA
19109,kossuth,IA
19111,lee,IA
19113,linn,IA
19115,louisa,IA
19117,lucas,IA
19119,lyon,IA
19121,madison,IA
19123,mahaska,IA
19125,marion,IA
19127,marshall,IA
19129,mills,IA
19131,mitchell,IA
19133,monona,IA
19135,monroe,IA
19137,montgomery,IA
19139,muscatine,IA
19141,o brien,IA
19143,osceola,IA
19145,page,IA
19147,palo alto,IA
19149,plymouth,IA
19151,pocahontas,IA
19153,polk,IA
19155,pottawattamie,IA
19157,poweshiek,IA
19159,ringgold,IA
19161,sac,IA
19163,scott,IA
19165,shelby,IA
19167,sioux,IA
19169,story,IA
19171,tama,IA
19173,taylor,IA
19175,union,IA
19177,van buren,IA
19179,wapello,IA
19181,warren,IA
19183,washington,IA
19185,wayne,IA
19187,webster,IA
19189,winnebago,IA
19191,winneshiek,IA
19193,woodbury,IA
19195,worth,IA
19197,wright,IA
20001,allen,KS
20003,anderson,KS
20005,atchison,KS
20007,barber,KS
20009,barton,KS
20011,bourbon,KS
20013,brown,KS
20015,butler,KS
20017,chase,KS
20019,chautauqua,KS
20021,cherokee,KS
20023,cheyenne,KS
20025,clark,KS
20027,clay,KS
20029,cloud,KS
20031,coffey,KS
20033,comanche,KS
20035,cowley,KS
20037,crawford,KS
20039,decatur,KS
20041,dickinson,KS
20043,doniphan,KS
20045,douglas,KS
20047,edwards,KS
20049,elk,KS
20051,ellis,KS
20053,ellsworth,KS
20055,finney,KS
20057,ford,KS
20059,franklin,KS
20061,geary,KS
20063,gove,KS
20065,graham,KS
20067,grant,KS
20069,gray,KS
20071,greeley,KS
20073,greenwood,KS
20075,hamilton,KS
20077,harper,KS
20079,harvey,KS
20081,haskell,KS
20083,hodgeman,KS
20085,jackson,KS
20087,jefferson,KS
20089,jewell,KS
20091,johnson,KS
20093,kearny,KS
20095,kingman,KS
20097,kiowa,KS
20099,labette,KS
20101,lane,KS
20103,leavenworth,KS
20105,lincoln,KS
20107,linn,KS
20109,logan,KS
20111,lyon,KS
20113,mcpherson,KS
20115,marion,KS
20117,marshall,KS
20119,meade,KS
20121,miami,KS
20123,mitchell,KS
20125,montgomery,KS
20127,morris,KS
20129,morton,KS
20131,nemaha,KS
20133,neosho,KS
20135,ness,KS
20137,norton,KS
20139,osage,KS
20141,osborne,KS
20143,ottawa,KS
20145,pawnee,KS
20147,phillips,KS
20149,pottawatomie,KS
20151,pratt,KS
20153,rawlins,KS
20155,reno,KS
20157,republic,KS
20159,rice,KS
20161,riley,KS
20163,rooks,KS
20165,rush,KS
20167,russell,KS
20169,saline,KS
20171,scott,KS
20173,sedgwick,KS
20175,seward,KS
20177,shawnee,KS
20179,sheridan,KS
20181,sherman,KS
20183,smith,KS
20185,stafford,KS
20187,stanton,KS
20189,stevens,KS
20191,sumner,KS
20193,thomas,KS
20195,trego,KS
20197,wabaunsee,KS
20199,wallace,KS
20201,washington,KS
20203,wichita,KS
20205,wilson,KS
20207,woodson,KS
20209,wyandotte,KS
21001,adair,KY
21003,allen,KY
21005,anderson,KY
21007,ballard,KY
21009,barren,KY
21011,bath,KY
21013,bell,KY
21015,boone,KY
21017,bourbon,KY
21019,boyd,KY
21021,boyle,KY
21023,bracken,KY
21025,breathitt,KY
21027,breckinridge,KY
21029,bullitt,KY
21031,butler,KY
21033,caldwell,KY
21035,calloway,KY
21037,campbell,KY
21039,carlisle,KY
21041,carroll,KY
21043,carter,KY
21045,casey,KY
21047,christian,KY
21049,clark,KY
21051,clay,KY
21053,clinton,KY
21055,crittenden,KY
21057,cumberland,KY
21059,daviess,KY
21061,edmonson,KY
21063,elliott,KY
21065,estill,KY
21067,fayette,KY
21069,fleming,KY
21071,floyd,KY
21073,franklin,KY
21075,fulton,KY
21077,gallatin,KY
21079,garrard,KY
21081,grant,KY
21083,graves,KY
21085,grayson,KY
21087,green,KY
21089,greenup,KY
21091,hancock,KY
21093,hardin,KY
21095,harlan,KY
21097,harrison,KY
21099,hart,KY
21101,henderson,KY
21103,henry,KY
21105,hickman,KY
21107,hopkins,KY
21109,jackson,KY
21111,jefferson,KY
21113,jessamine,KY
21115,johnson,KY
21117,kenton,KY
21119,knott,KY
21121,knox,KY
21123,larue,KY
21125,laurel,KY
21127,lawrence,KY
21129,lee,KY
21131,leslie,KY
21133,letcher,KY
21135,lewis,KY
21137,lincoln,KY
21139,livingston,KY
21141,logan,KY
21143,lyon,KY
21145,mccracken,KY
21147,mccreary,KY
21149,mclean,KY
21151,madison,KY
21153,magoffin,KY
21155,marion,KY
21157,marshall,KY
21159,martin,KY
21161,mason,KY
21163,meade,KY
21165,menifee,KY
21167,mercer,KY
21169,metcalfe,KY
21171,monroe,KY
21173,montgomery,KY
21175,morgan,KY
21177,muhlenberg,KY
21179,nelson,KY
21181,nicholas,KY
21183,ohio,KY
21185,oldham,KY
21187,owen,KY
21189,owsley,KY
21191,pendleton,KY
21193,perry,KY
21195,pike,KY
21197,powell,KY
21199,pulaski,KY
21201,robertson,KY
21203,rockcastle,KY
21205,rowan,KY
21207,russell,KY
21209,scott,KY
21211,shelby,KY
21213,simpson,KY
21215,spencer,KY
21217,taylor,KY
21219,todd,KY
21221,trigg,KY
21223,trimble,KY
21225,union,KY
21227,warren,KY
21229,washington,KY
21231,wayne,KY
21233,webster,KY
21235,whitley,KY
21237,wolfe,KY
21239,woodford,KY
22001,acadia,LA
22003,allen,LA
22005,ascension,LA
22007,assumption,LA
22009,avoyelles,LA
22011,beauregard,LA
22013,bienville,LA
22015,bossier,LA
22017,caddo,LA
22019,calcasieu,LA
22021,caldwell,LA
22023,cameron,LA
22025,catahoula,LA
22027,claiborne,LA
22029,concordia,LA
22031,de soto,LA
22033,east baton rouge,LA
22035,east carroll,LA
22037,east feliciana,LA
22039,evangeline,LA
22041,franklin,LA
22043,grant,LA
22045,iberia,LA
22047,iberville,LA
22049,jackson,LA
22051,jefferson,LA
22053,jefferson davis,LA
22055,lafayette,LA
22057,lafourche,LA
22059,la salle,LA
22061,lincoln,LA
22063,livingston,LA
22065,madison,LA
22067,morehouse,LA
22069,natchitoches,LA
22071,orleans,LA
22073,ouachita,LA
22075,plaquemines,LA
22077,pointe coupee,LA
22079,rapides,LA
22081,red river,LA
22083,richland,LA
22085,sabine,LA
22087,st bernard,LA
22089,st charles,LA
22091,st helena,LA
22093,st james,LA
22095,st john the baptist,LA
22097,st landry,LA
22099,st martin,LA
22101,st mary,LA
22103,st tammany,LA
22105,tangipahoa,LA
22107,tensas,LA
22109,terrebonne,LA
22111,union,LA
22113,vermilion,LA
22115,vernon,LA
22117,washington,LA
22119,webster,LA
22121,west baton rouge,LA
22123,west carroll,LA
22125,west feliciana,LA
22127,winn,LA
23001,androscoggin,ME
23003,aroostook,ME
23005,cumberland,ME
23007,franklin,ME
23009,hancock,ME
23011,kennebec,ME
23013,knox,ME
23015,lincoln,ME
23017,oxford,ME
23019,penobscot,ME
23021,piscataquis,ME
23023,sagadahoc,ME
23025,somerset,ME
23027,waldo,ME
23029,washington,ME
23031,york,ME
24001,allegany,MD
24003,anne arundel,MD
24005,baltimore,MD
24009,calvert,MD
24011,caroline,MD
24013,carroll,MD
24015,cecil,MD
24017,charles,MD
24019,dorchester,MD
24021,frederick,MD
24023,garrett,MD
24025,harford,MD
24027,howard,MD
24029,kent,MD
24031,montgomery,MD
24033,prince georges,MD
24035,queen annes,MD
24037,st marys,MD
24039,somerset,MD
24041,talbot,MD
24043,washington,MD
24045,wicomico,MD
24047,worcester,MD
24510,baltimore city,MD
25001,barnstable,MA
25003,berkshire,MA
25005,bristol,MA
25007,dukes,MA
25009,essex,MA
25011,franklin,MA
25013,hampden,MA
25015,hampshire,MA
25017,middlesex,MA
25019,nantucket,MA
25021,norfolk,MA
25023,plymouth,MA
25025,suffolk,MA
25027,worcester,MA
26001,alcona,MI
26003,alger,MI
26005,allegan,MI
26007,alpena,MI
26009,antrim,MI
26011,arenac,MI
26013,baraga,MI
26015,barry,MI
26017,bay,MI
26019,benzie,MI
26021,berrien,MI
26023,branch,MI
26025,calhoun,MI
26027,cass,MI
26029,charlevoix,MI
26031,cheboygan,MI
26033,chippewa,MI
26035,clare,MI
26037,clinton,MI
26039,crawford,MI
26041,delta,MI
26043,dickinson,MI
26045,eaton,MI
26047,emmet,MI
26049,genesee,MI
26051,gladwin,MI
26053,gogebic,MI
26055,grand traverse,MI
26057,gratiot,MI
26059,hillsdale,MI
26061,houghton,MI
26063,huron,MI
26065,ingham,MI
26067,ionia,MI
26069,iosco,MI
26071,iron,MI
26073,isabella,MI
26075,jackson,MI
26077,kalamazoo,MI
26079,kalkaska,MI
26081,kent,MI
26083,keweenaw,MI
26085,lake,MI
26087,lapeer,MI
26089,leelanau,MI
26091,lenawee,MI
26093,livingston,MI
26095,luce,MI
26097,mackinac,MI
26099,macomb,MI
26101,manistee,MI
26103,marquette,MI
26105,mason,MI
26107,mecosta,MI
26109,menominee,MI
26111,midland,MI
26113,missaukee,MI
26115,monroe,MI
26117,montcalm,MI
26119,montmorency,MI
26121,muskegon,MI
26123,newaygo,MI
26125,oakland,MI
26127,oceana,MI
26129,ogemaw,MI
26131,ontonagon,MI
26133,osceola,MI
26135,oscoda,MI
26137,otsego,MI
26139,ottawa,MI
26141,presque isle,MI
26143,roscommon,MI
26145,saginaw,MI
26147,st clair,MI
26149,st joseph,MI
26151,sanilac,MI
26153,schoolcraft,MI
26155,shiawassee,MI
26157,tuscola,MI
26159,van buren,MI
26161,washtenaw,MI
26163,wayne,MI
26165,wexford,MI
27001,aitkin,MN
27003,anoka,MN
27005,becker,MN
27007,beltrami,MN
27009,benton,MN
27011,big stone,MN
27013,blue earth,MN
27015,brown,MN
27017,carlton,MN
27019,carver,MN
27021,cass,MN
27023,chippewa,MN
27025,chisago,MN
27027,clay,MN
27029,clearwater,MN
27031,cook,MN
27033,cottonwood,MN
27035,crow wing,MN
27037,dakota,MN
27039,dodge,MN
27041,douglas,MN
27043,faribault,MN
27045,fillmore,MN
27047,freeborn,MN
27049,goodhue,MN
27051,grant,MN
27053,hennepin,MN
27055,houston,MN
27057,hubbard,MN
27059,isanti,MN
27061,itasca,MN
27063,jackson,MN
27065,kanabec,MN
27067,kandiyohi,MN
27069,kittson,MN
27071,koochiching,MN
27073,lac qui parle,MN
27075,lake,MN
27077,lake of the woods,MN
27079,le sueur,MN
27081,lincoln,MN
27083,lyon,MN
27085,mcleod,MN
27087,mahnomen,MN
27089,marshall,MN
27091,martin,MN
27093,meeker,MN
27095,mille lacs,MN
27097,morrison,MN
27099,mower,MN
27101,murray,MN
27103,nicollet,MN
27105,nobles,MN
27107,norman,MN
27109,olmsted,MN
27111,otter tail,MN
27113,pennington,MN
27115,pine,MN
27117,pipestone,MN
27119,polk,MN
27121,pope,MN
27123,ramsey,MN
27125,red lake,MN
27127,redwood,MN
27129,renville,MN
27131,rice,MN
27133,rock,MN
27135,roseau,MN
27137,st louis,MN
27139,scott,MN
27141,sherburne,MN
